,API_NUMBER,LATITUDE,LONGITUDE
149053,120192389800.0,40.267529,-88.4291
149054,120192389900.0,40.267543,-88.425061
149055,120192390000.0,40.267537,-88.424777
150706,120190059200.0,40.296411,-88.36567
150707,120190059300.0,40.281348,-88.380203
150708,120190059400.0,40.252177,-88.373995
150709,120190059500.0,40.252702,-88.394589
150711,120190059600.0,40.331224,-88.442171
150712,120190059800.0,40.340195,-88.404135
150713,120190059900.0,40.391435,-88.441383
150714,120190060000.0,40.332742,-88.432018
150715,120190060100.0,40.325291,-88.385502
150716,120190060500.0,40.391224,-88.422753
161364,120190017000.0,40.215078,-88.10507
161365,120190017100.0,40.142119,-88.104666
161366,120190017200.0,40.207794,-88.124924
161367,120190017300.0,40.239127,-88.106918
161368,120190017400.0,40.224614,-88.116656
161371,120190017500.0,40.186424,-88.057112
161523,120190013900.0,40.353906,-88.384693
161524,120190014000.0,40.326903,-88.365515
161525,120190014100.0,40.321963,-88.442218
161526,120190014200.0,40.325407,-88.411165
161527,120190014800.0,40.267304,-88.450773
161528,120190016600.0,40.098473,-88.407246
161529,120190016700.0,40.127677,-88.407698
161530,120190016800.0,40.156906,-88.407348
161533,120190016900.0,39.893835,-88.311641
167684,120192368800.0,40.049654,-87.987638
174925,120190026900.0,39.891936,-88.436759
174926,120190063500.0,39.936303,-88.252037
174927,120190061100.0,39.912719,-88.294112
174928,120190062400.0,39.907123,-88.258618
174929,120190015000.0,39.887313,-88.315242
174930,120190109300.0,39.911792,-88.064796
174931,120190027900.0,39.98227,-88.283373
174932,120190066200.0,40.11039,-88.459858
174933,120190066000.0,40.094049,-88.446256
174934,120190066100.0,40.084964,-88.432164
174935,120190026800.0,40.395628,-88.35403
174936,120190027300.0,40.380094,-88.241847
174937,120190027000.0,40.378652,-88.214578
174938,120190027600.0,40.328226,-88.022524
174939,120190029500.0,39.892905,-88.36195
174940,120190002800.0,39.885489,-88.385786
175057,120190002700.0,39.916709,-88.364542
175058,120190004400.0,39.965852,-88.271326
175059,120190003900.0,39.882571,-88.17833
175060,120190030900.0,39.941839,-88.048874
175061,120190000700.0,39.938781,-88.083954
175062,120190030800.0,39.960628,-88.06742
175063,120190003800.0,39.93124,-87.995749
175064,120190001900.0,39.974972,-88.067101
175065,120190034701.0,39.971105,-88.238649
175066,120190005400.0,39.967699,-88.268987
175067,120190034500.0,39.968119,-88.33266
175068,120190053500.0,40.18478,-88.117396
175069,120190053400.0,40.186997,-88.113909
175070,120190053300.0,40.190642,-88.103705
175071,120190053200.0,40.20333,-88.118803
175072,120190053600.0,40.172498,-88.101356
175073,120190000400.0,40.17676,-88.321748
175074,120190000401.0,40.17676,-88.321748
175075,120190000402.0,40.17676,-88.321748
175076,120190002600.0,40.194107,-88.380583
175077,120190004000.0,40.263867,-88.326642
175078,120190006700.0,40.235362,-88.430902
175079,120190005000.0,40.266248,-88.399993
175080,120190015700.0,40.254685,-88.335892
175081,120190056000.0,40.382907,-88.34239
175082,120190055900.0,40.396174,-88.32989
175083,120190054800.0,40.393773,-88.355645
175084,120190065800.0,40.267505,-88.431554
175085,120190012303.0,40.296404,-88.422125
175086,120190078300.0,39.90997,-88.064823
175087,120190059001.0,40.237924,-88.406775
175088,120190030700.0,39.880597,-88.190126
175089,120192196501.0,39.880597,-88.190126
175090,120190154400.0,40.278232,-88.413398
175091,120190154500.0,40.274278,-88.407472
175092,120190145500.0,39.909993,-88.067188
175093,120192157800.0,40.310198,-88.386923
175094,120190155300.0,40.303627,-88.385482
175095,120190148600.0,40.289005,-88.43211
175096,120190148100.0,40.296044,-88.385463
175097,120190155500.0,40.273793,-88.445984
175216,120190150200.0,40.256057,-88.446649
175217,120190155400.0,40.248028,-88.408111
175218,120190155600.0,40.252835,-88.403883
175219,120190150100.0,40.256332,-88.399152
175220,120190154300.0,40.249024,-88.437182
175221,120192158100.0,39.909936,-88.062458
175222,120192161200.0,40.29636,-88.413303
175223,120192161500.0,40.245541,-88.413163
175224,120192161700.0,40.245528,-88.403281
175225,120192162000.0,40.245193,-88.422432
175226,120192162600.0,40.310724,-88.441787
175227,120192165700.0,40.303948,-88.403333
175228,120192168000.0,40.296264,-88.432276
175229,120192170100.0,40.288896,-88.451125
175230,120192170300.0,40.325636,-88.337776
175231,120192171400.0,40.274388,-88.394835
175232,120192171500.0,40.271135,-88.38959
175233,120192171600.0,40.222234,-88.402593
175234,120192171700.0,40.260069,-88.451181
175235,120192171800.0,40.241865,-88.418
175236,120192171900.0,40.245212,-88.432465
175237,120192172000.0,40.245598,-88.441445
175238,120192173300.0,40.283979,-88.415002
175239,120192178900.0,40.252745,-88.394743
175240,120192179000.0,40.260048,-88.394771
175241,120192181300.0,40.263421,-88.389562
175242,120192181400.0,40.248803,-88.398486
175243,120192185100.0,40.286217,-88.427201
175244,120192185200.0,40.241786,-88.408393
175245,120192185300.0,40.249019,-88.446507
175246,120192185500.0,40.285564,-88.399212
175247,120192188800.0,40.256184,-88.389465
175248,120192190000.0,40.285641,-88.436464
175249,120192193700.0,40.285221,-88.389639
175250,120192196400.0,40.293038,-88.426419
175251,120192196600.0,39.938779,-88.083574
175252,120192196900.0,40.285685,-88.408482
175253,120192197200.0,40.303334,-88.431601
179451,120190013600.0,40.267123,-88.420478
179452,120190053801.0,40.262419,-88.378642
179453,120190013100.0,40.237989,-88.422694
179575,120190034700.0,39.9711,-88.23864
183212,120192406500.0,40.267564,-88.438499
183213,120192407000.0,40.267567,-88.438787
183214,120192407100.0,40.266979,-88.415296
183215,120192407200.0,40.266982,-88.415584
184232,120192399601.0,40.263803,-88.412651
184682,120192399400.0,40.266975,-88.420311
184683,120192399500.0,40.266975,-88.420599
185277,120192447400.0,40.273136,-88.237818
185280,120192447600.0,40.248382,-88.233591
185590,120190000200.0,40.114213,-88.190117
186359,120192414100.0,40.271215,-88.440287
186360,120192414200.0,40.271215,-88.440576
186644,120192586800.0,40.254112,-88.059679
188196,120190012001.0,40.310776,-88.423849
188586,120192614500.0,40.245519,-88.151555
188623,120192275401.0,40.252652,-88.146893
191837,120192369400.0,40.048742,-87.988818
200085,120192635600.0,40.184865,-88.424283
200151,120192631700.0,39.951472,-88.067378
200152,120192631800.0,40.026446,-88.175239
200153,120192631900.0,40.053928,-88.16825
200154,120192632000.0,40.039777,-88.075076
200155,120192632100.0,40.038828,-88.008759
200156,120192632200.0,40.119652,-88.332193
200157,120192632300.0,40.106627,-88.017906
200158,120192631100.0,40.189537,-88.397076
200159,120192632400.0,40.197711,-88.332918
200191,120192635400.0,40.184923,-88.42424
200344,120192634100.0,39.901861,-88.385167
200345,120192634200.0,40.037111,-88.180944
200346,120192634300.0,40.014444,-88.065556
200362,120192634400.0,40.142,-88.402556
200643,120192631400.0,40.05338,-88.371104
200644,120192631500.0,40.053263,-88.371095
201053,120192634500.0,40.069999,-88.263221
201054,120192634600.0,40.084318,-88.020318
201055,120192634700.0,40.214023,-88.373577
201056,120192634800.0,40.148728,-88.233909
201057,120192634900.0,40.176173,-88.048949
201058,120192635000.0,40.238786,-88.368916
201059,120192635100.0,40.262729,-88.268919
201060,120192635200.0,40.362869,-88.334145
201061,120192635300.0,40.333212,-88.128309
201427,120192637100.0,40.245934,-88.354848
201428,120192637200.0,40.245934,-88.354848
201429,120192637300.0,40.245934,-88.354848
201430,120192637400.0,40.244139,-88.35718
201431,120192637500.0,40.250528,-88.367139
201432,120192637600.0,40.248361,-88.38025
201433,120192637700.0,40.229223,-88.153521
201434,120192637800.0,40.361048,-88.431278
201435,120192637900.0,40.398913,-87.996265
201547,120192635700.0,40.187365,-88.238513
201639,120192638000.0,39.967881,-88.185914
201947,120192639600.0,40.020991,-88.367473
201948,120192639700.0,39.998939,-88.182316
201977,120190028800.0,40.09851,-88.343035
202080,120192638100.0,40.0811,-88.060788
202081,120192638200.0,40.189594,-88.427814
202082,120192638300.0,40.162779,-87.961294
202083,120192638400.0,40.244459,-88.278426
202084,120192638500.0,40.245579,-88.11565
202085,120192638600.0,40.324753,-88.307738
202086,120192638700.0,40.355757,-88.02006
202087,120192638800.0,40.319072,-88.022623
202144,120192636600.0,40.178035,-88.068029
202552,120192635800.0,39.905565,-88.331779
202553,120192635900.0,39.911485,-88.048419
202554,120192636000.0,40.072318,-88.317485
202555,120192636100.0,40.072318,-88.317485
203160,120192642800.0,40.397597,-88.456551
203161,120192643000.0,40.203381,-88.396635
203162,120192642900.0,40.281571,-88.355676
203163,120192643100.0,40.385454,-87.981138
203483,120192645100.0,40.281511,-88.355612
203484,120192645200.0,40.281514,-88.355675
203524,120190043900.0,40.127256,-88.213998
203808,120192636200.0,40.059229,-88.08223
203809,120192636300.0,40.189776,-88.43432
203810,120192636400.0,40.180306,-88.083556
203811,120192636500.0,40.178035,-88.068029
203812,120192636700.0,40.185398,-88.075204
203813,120192636800.0,40.156933,-87.974167
203814,120192636900.0,40.278552,-88.372585
203815,120192637000.0,40.253361,-88.408972
203986,120192640900.0,40.24559,-88.307011
203987,120192641000.0,40.245182,-88.32008
204137,120192641200.0,40.388894,-87.98609
204150,120192642700.0,40.203429,-88.396636
204161,120192646400.0,40.142044,-88.375902
204220,120192647900.0,40.132944,-88.240079
204285,120192642300.0,40.311714,-88.38832
204286,120192642400.0,40.018116,-88.331942
204288,120192642600.0,40.362386,-88.137695
204586,120192646500.0,40.084861,-88.133861
204587,120192646600.0,40.084861,-88.138389
204588,120192646700.0,40.088917,-88.055194
204589,120192646800.0,40.056944,-88.0625
204590,120192646900.0,40.197564,-88.430265
204593,120192647000.0,40.150358,-88.133345
204594,120192647100.0,40.150358,-88.133345
204595,120192647200.0,40.214601,-88.027505
204596,120192647300.0,40.24414,-88.354804
204597,120192647400.0,40.252028,-88.368111
204598,120192647500.0,40.243256,-88.233135
204599,120192647600.0,40.342799,-88.024876
204604,120192647700.0,40.127833,-88.359917
204605,120192647800.0,40.142299,-88.360451
204874,120192646300.0,40.385156,-87.981028
204887,120192650800.0,40.133518,-88.370066
204888,120192650900.0,40.14202,-88.374
205030,120192638900.0,39.980833,-88.195
205031,120192639000.0,40.038828,-88.008759
205032,120192639100.0,40.137783,-88.049783
205033,120192639200.0,40.074444,-88.038333
205034,120192639300.0,40.244139,-88.35718
205035,120192639400.0,40.239,-88.141383
205036,120192639500.0,40.311532,-88.084803
205124,120192639800.0,39.956944,-88.084444
205125,120192639900.0,39.977315,-88.3305
205126,120192640000.0,39.983333,-88.18
205127,120192640100.0,40.057797,-88.326864
205128,120192640200.0,40.068332,-88.070436
205129,120192640300.0,40.068332,-88.070436
205130,120192640400.0,40.100814,-87.995586
205131,120192640500.0,40.195727,-88.339988
205132,120192640600.0,40.240555,-88.347577
205133,120192640700.0,40.227381,-88.368603
205178,120192640800.0,40.097223,-88.020275
205368,120192641300.0,40.385115,-87.981081
205612,120192651000.0,40.128511,-88.361384
205613,120192651100.0,40.100854,-88.229066
205614,120192324300.0,40.283409,-88.117409
205615,120192324400.0,40.283171,-88.125731
205616,120192324500.0,40.283057,-88.134442
205617,120192324600.0,40.287308,-88.142532
205618,120192324700.0,40.293728,-88.128328
205621,120192651200.0,40.286173,-88.136192
205622,120192651300.0,40.288411,-88.125105
205623,120192651400.0,40.283432,-88.154401
